uid,caption,image_path
bb3552fe9b074acf8ea531c2e9e25fe7,"A stylized corner room with textured walls and assorted objects. The room features a blue arched door, brown barrels, a red and white striped object resembling a lighthouse, blue plates, and a colorful box. The floor appears to be covered in sand, and the walls have varying designs with a turquoise brick pattern and a weathered wood panel section.",data/processed/images/bb3552fe9b074acf8ea531c2e9e25fe7.png
3764a2442eca43c7bbe64d8297d84905,"A rectangular box packaging featuring characters from Cuphead and the text ""Ginger Dan Robot"" and ""Don't Deal with the Devil.""",data/processed/images/3764a2442eca43c7bbe64d8297d84905.png
9ff331513cea44a2938d09a03d7b0493,White plastic cylinder resembling a toilet paper holder.,data/processed/images/9ff331513cea44a2938d09a03d7b0493.png
f78e38ccea1d45dcaefe1970e7df4035,A forklift truck with a trailer.,data/processed/images/f78e38ccea1d45dcaefe1970e7df4035.png
112c059282cf4511a01fd27211edcae8,A wooden table and a bench.,data/processed/images/112c059282cf4511a01fd27211edcae8.png
77031e12fc7f49c09530addc5c7c1cd3,"A ninja-themed LEGO figure dressed in black and white attire with a sword on its back, a white cloth mask covering its face, and holding a small gray bird.",data/processed/images/77031e12fc7f49c09530addc5c7c1cd3.png
d06cca5175434a83b3944bcfad47c464,"A two-level structure with a central gray wall, white floor platforms, wooden railings, and wooden stairs connecting the levels, set on a light wood floor.",data/processed/images/d06cca5175434a83b3944bcfad47c464.png
037306d9dd4e4a3cbe14d127cfe26fb5,"A simple beige two-story house with multiple windows, a door, and visible interior furniture, including tables and chairs.",data/processed/images/037306d9dd4e4a3cbe14d127cfe26fb5.png
995f110c17cc49b5be4c90ea5028fb1d,"A complex, abstract geometric shape with sharp, angular facets and a combination of flat and jagged surfaces, resembling a folded and crumpled metallic form.",data/processed/images/995f110c17cc49b5be4c90ea5028fb1d.png
24a550a5d6e54402809a75eb8654230e,"A brick building with a chimney, flat roof, large front windows, and a circular arch entrance, featuring some green and orange details.",data/processed/images/24a550a5d6e54402809a75eb8654230e.png
1c4cdf7a3b46436daad57548a5587025,"Curved white rectangular object with a central square cutout featuring a wood grain pattern and the text ""PEACEFUL MIND.""",data/processed/images/1c4cdf7a3b46436daad57548a5587025.png
dcd9cb4775934a4d9572d923a3c8fc2c,"A spherical cluster of dark, irregularly shaped, glossy fragments with occasional reflective highlights.",data/processed/images/dcd9cb4775934a4d9572d923a3c8fc2c.png
d40f6a7e7dc049a6b9e63c2ac31918f0,"A small village featuring a pond, trees, and a farm in a grassy field.",data/processed/images/d40f6a7e7dc049a6b9e63c2ac31918f0.png
8a213b966bb6445e983de414a157aa24,A section of underwater coral reef with various coral formations and a sandy seabed.,data/processed/images/8a213b966bb6445e983de414a157aa24.png
578f5a1461a7441aad8a3a92f16ae94e,"Monochromatic, simplified frying pan with a long handle and a wide, shallow pan.",data/processed/images/578f5a1461a7441aad8a3a92f16ae94e.png
4bca5e63577c4c4193bfc00a82ce187d,"A tall, slender white spike with a small base featuring yellow and black markings.",data/processed/images/4bca5e63577c4c4193bfc00a82ce187d.png
5a0c9e77a109446599b472d0d209fac2,Golden cone-shaped object with a hole in it.,data/processed/images/5a0c9e77a109446599b472d0d209fac2.png
9991f0431081433497766316a520260c,"Abstract turquoise form with a cloud-like, porous structure.",data/processed/images/9991f0431081433497766316a520260c.png
6ed68344c70e41ac86b8d595cb867f9d,"A textured, irregularly shaped seashell with ridged surface details and a slightly curved form.",data/processed/images/6ed68344c70e41ac86b8d595cb867f9d.png
4edc2f96d8ae4fbeba7f85f8a648adcf,"Abstract representation of an interior space including elements such as furniture, windows, and household items, with surfaces that resemble wood, fabric, and glass, predominantly in brown, white, and beige tones.",data/processed/images/4edc2f96d8ae4fbeba7f85f8a648adcf.png
98324481a0554ee1855a2ac1d5d9871d,"A pair of small, intricately patterned cube-shaped objects with a maze-like surface.",data/processed/images/98324481a0554ee1855a2ac1d5d9871d.png
f13f2141e02b4c34bf889fd0ac0cceb8,White bust of a man with curly hair.,data/processed/images/f13f2141e02b4c34bf889fd0ac0cceb8.png
1c8f4b91f6fd43bc84c6e3696130035c,"A complex, irregularly shaped object with multiple protrusions and a jagged perimeter.",data/processed/images/1c8f4b91f6fd43bc84c6e3696130035c.png
74c05ea2f5d64357a75e4ecafb9570f9,A blue tank.,data/processed/images/74c05ea2f5d64357a75e4ecafb9570f9.png
b0e02cd5b642446aadb6517fac83c724,"A stylized witch hat with a wide brim and a tall, pointed, slightly bent crown.",data/processed/images/b0e02cd5b642446aadb6517fac83c724.png
64bbe752c13d48dcb699624a64deadae,A semi-automatic handgun with a long barrel and a textured grip.,data/processed/images/64bbe752c13d48dcb699624a64deadae.png
f083b065ab434af593a70cfb7b4d37c2,"A cylindrical blue sponge object with various colorful cleaning supplies: a purple brush, a yellow stick, a pink sponge, and a small silver-and-white object resembling a pill.",data/processed/images/f083b065ab434af593a70cfb7b4d37c2.png
f154f2372c2542d3915496afac943429,"Floor plan of a multi-room interior space with distinct walls and doorways, showcasing areas such as rooms, hallways, and bathroom facilities.",data/processed/images/f154f2372c2542d3915496afac943429.png
b6550219072d42d2beac49d2b862f50d,A segmented hollow cylindrical structure with an irregular polygonal outline.,data/processed/images/b6550219072d42d2beac49d2b862f50d.png
ca8c999dcad54a4899b4ba2f28f4aaee,"A skeletal, mechanical dinosaur-like creature with sharp claws, segmented limbs, and a long tail, featuring prominent spiked plates along its back.",data/processed/images/ca8c999dcad54a4899b4ba2f28f4aaee.png
a00b970c02c244b2bc359b1d3f19df9f,"A small landscape scene featuring two snow-capped mountains, a shining sun, clouds, green grass, a cactus, various trees, mushroom plants, and sandy ground.",data/processed/images/a00b970c02c244b2bc359b1d3f19df9f.png
ab01ccfc284a427097d2d515015f40d2,"A small humanoid figure with antennae, large wings, and flat shoes, holding a long staff.",data/processed/images/ab01ccfc284a427097d2d515015f40d2.png
c65dbd937e5241118195d748cf33ede1,"A minimalist architectural structure with a rectangular upper slab supported by two vertical walls, featuring an open ground floor with flooring and a small set of stairs connecting the levels.",data/processed/images/c65dbd937e5241118195d748cf33ede1.png
f83433154afd49628314179b6f75fbad,"A butterfly with dark brown wings accented by yellow and orange patterns, a teal body, and long, thin legs.",data/processed/images/f83433154afd49628314179b6f75fbad.png
fdb0056ffec14cb9b955f491392ead39,A light blue plastic chair with legs.,data/processed/images/fdb0056ffec14cb9b955f491392ead39.png
eb781f7b1d084d5fac2c84f520bd4ad0,A carved stone relief featuring figures on horseback draped in flowing garments.,data/processed/images/eb781f7b1d084d5fac2c84f520bd4ad0.png
6c63d414b491499dbb44c786c60202e6,"Matte white human skeleton featuring a skull, spine, ribs, and upper limbs.",data/processed/images/6c63d414b491499dbb44c786c60202e6.png
4b26ff3f7e634ff08170170ec8d241de,"A wooden crate with white smoke or steam emanating from its top, with some black markings on the smoke.",data/processed/images/4b26ff3f7e634ff08170170ec8d241de.png
92235e98b4a24a84aaf3a43f175310c6,A small house with a fence around it.,data/processed/images/92235e98b4a24a84aaf3a43f175310c6.png
2d294a33f42d4ba4bad16dadc847cc74,"A flat, irregular quadrilateral-shaped sheet with one corner extending into a small notch.",data/processed/images/2d294a33f42d4ba4bad16dadc847cc74.png
f771e4eb7f8646eca5371f861b4f963e,"A rounded, multi-layered object with a dome-like top, featuring horizontal grooves along its curved sides.",data/processed/images/f771e4eb7f8646eca5371f861b4f963e.png
22636ef1fac3487db30f8bfcf551da5f,"A fragment of a classical marble relief depicting a robed figure interacting with an animal, with partially preserved drapery and architectural elements.",data/processed/images/22636ef1fac3487db30f8bfcf551da5f.png
b6a1af7db6504216b06f48bf4a09611d,"A rough, irregularly shaped rock with a predominantly light gray color, featuring darker gray-blue streaks and patches of rusty brown discoloration, along with a black numeric inscription on one side.",data/processed/images/b6a1af7db6504216b06f48bf4a09611d.png
0f0f3812b9164832bdf7c05e9909b76d,"A corner bookshelf and cabinet unit with bookshelves, drawers, and decorative items, including a stack of boxes and a black cabinet with a butterfly ornament.",data/processed/images/0f0f3812b9164832bdf7c05e9909b76d.png
8807cc08d876421eaddba267161b62df,A red and white sword with a metal handle and a flame design.,data/processed/images/8807cc08d876421eaddba267161b62df.png
24bff22c36d8490d8f1f23d8b82c97ce,"A collection of cleaning and maintenance tools, including a mop, broom, bucket, plunger, ladder, fire extinguisher, and several bottles of cleaning liquids.",data/processed/images/24bff22c36d8490d8f1f23d8b82c97ce.png
77c62e0fed7b4eda90a415dceb676045,A ring featuring an oval-shaped central stone set in a split shank band.,data/processed/images/77c62e0fed7b4eda90a415dceb676045.png
39c23be7af5848408ad74a744a127880,A gray stone with angular facets and irregular shapes.,data/processed/images/39c23be7af5848408ad74a744a127880.png
25b4e9dae56a46e6b528b849dcd2d0d7,"A small stone mausoleum or tomb with a pitched roof, a cross on top, decorative patterns, and a stepped base.",data/processed/images/25b4e9dae56a46e6b528b849dcd2d0d7.png
0e315229b94543b3b510403f02c797d3,A human skull.,data/processed/images/0e315229b94543b3b510403f02c797d3.png
28de7aac69ab41c6be2371e144a38c28,"A roughly triangular, weathered rock with a textured surface and some dark markings, including a black inscription on one side.",data/processed/images/28de7aac69ab41c6be2371e144a38c28.png
e2892b75a7d446e7841dc40ad73e9a86,"A small white, house-shaped cube.",data/processed/images/e2892b75a7d446e7841dc40ad73e9a86.png
6f29a99af529414a8c98f208dd9ef90e,"A black rectangular building with double-paneled windows, two doors with windows, security lights, and a sign above the entrance.",data/processed/images/6f29a99af529414a8c98f208dd9ef90e.png
0306e796402a4d7f8ce5245b81f1aa24,A flashlight with a cylindrical shape and a metal tube design.,data/processed/images/0306e796402a4d7f8ce5245b81f1aa24.png
7609d5893dbb4fdb84a6190d49ac37e3,Houses with red and blue roofs and a white shelf.,data/processed/images/7609d5893dbb4fdb84a6190d49ac37e3.png
7f7de4b4967543749304ba65631ab7b5,"A large rectangular structure with high walls, railings on top, a smaller elevated section, and supporting legs beneath.",data/processed/images/7f7de4b4967543749304ba65631ab7b5.png
d0e4599e53fb4d8583d2c44cd7764b41,"A stylized, compact helicopter with a streamlined brown body, black windows, and skids for landing gear.",data/processed/images/d0e4599e53fb4d8583d2c44cd7764b41.png
b11f9861f5f94e749a649325acda4eae,White plastic pipe tee fitting.,data/processed/images/b11f9861f5f94e749a649325acda4eae.png
c9779a6e5163461996a25bae3d76e87b,"A geometric structure consisting of several rectangular panels with patterned cutouts, arranged upright on a flat base.",data/processed/images/c9779a6e5163461996a25bae3d76e87b.png
3dbc262be51443658c3f14f6c3a2a67b,"A two-level structure featuring a staircase connecting the lower and upper floors, supported by vertical walls on a flat base.",data/processed/images/3dbc262be51443658c3f14f6c3a2a67b.png
de60fb8cd15e496392dd1870796c46f1,A small boat floating on water with a person inside.,data/processed/images/de60fb8cd15e496392dd1870796c46f1.png
4416d0589a3348689aaea32fc6d25ea1,A solar-powered satellite with two solar panels.,data/processed/images/4416d0589a3348689aaea32fc6d25ea1.png
80c15e3e84244143a3bcf95e1ec7b230,A small religious building with a green roof.,data/processed/images/80c15e3e84244143a3bcf95e1ec7b230.png
a0c8f67d42bb4a258bccb155a8a5a9d9,"A pixelated The Legend of Zelda character, Link, wearing a green and yellow hat and a colorful outfit.",data/processed/images/a0c8f67d42bb4a258bccb155a8a5a9d9.png
20a2193a73704643b42937ca8e67bb80,"Triangular structure with a wooden frame, blue and black interior elements, and a protruding rectangular base.",data/processed/images/20a2193a73704643b42937ca8e67bb80.png
7ff4bed5efe2445a9138ad921e0ab2df,A white floor lamp with a curved design.,data/processed/images/7ff4bed5efe2445a9138ad921e0ab2df.png
955e65d3e1b74619b75a68b0cfbe2f87,"Textured stone slab with a patchy surface showing various tones of gray, brown, and hints of green lichen-like patterns.",data/processed/images/955e65d3e1b74619b75a68b0cfbe2f87.png
94ba52c4a2cf4bd3831720acc211222b,"Amber glass bottle with black ribbed cap and yellow label indicating lemon essential oil, 15 ml content.",data/processed/images/94ba52c4a2cf4bd3831720acc211222b.png
abdfc7e3692c436d814f0c3ea5028379,"A blocky, abstract structure with two raised rectangular sections separated by a central gap, featuring rounded edges.",data/processed/images/abdfc7e3692c436d814f0c3ea5028379.png
ce173f42a51642f99da1a5f90be33b78,"Fragmented reconstruction of an ancient stone archway and steps, with moss-covered surfaces and weathered appearance.",data/processed/images/ce173f42a51642f99da1a5f90be33b78.png
3f6f89080498447ea3dc156b2f363aea,"A shallow, dome-shaped object with an uneven surface and a circular base.",data/processed/images/3f6f89080498447ea3dc156b2f363aea.png
5c2d5c393f034494bfbe47486b5fc880,"A classic green sports car with a sleek, curved body, round headlights, white-rimmed tires, and visible license plates BM 8426.",data/processed/images/5c2d5c393f034494bfbe47486b5fc880.png
c5e8fc0ce4f14e75b29e42b62edf70fe,"A large, flat, black rectangular solid with a smooth surface and slightly rounded edges.",data/processed/images/c5e8fc0ce4f14e75b29e42b62edf70fe.png
4282341a050f4fa9ac9d79c72948e042,A woman with red hair and a green outfit.,data/processed/images/4282341a050f4fa9ac9d79c72948e042.png
9fe9043ea98d46179ffa896fbab9fdce,A sphere covered with hexagons.,data/processed/images/9fe9043ea98d46179ffa896fbab9fdce.png
41bb26d6baf44a98b23d8df97a7c2ab9,A syringe and a bottle of liquid.,data/processed/images/41bb26d6baf44a98b23d8df97a7c2ab9.png
c28a70782cda4597973e3a2a55757a42,A small black device with a folded structure sits at the center of a large flat square grid marked with red squares and white lines.,data/processed/images/c28a70782cda4597973e3a2a55757a42.png
21a1cf4508b14d91b2d1d7c8ccc65806,Modern wooden bed frame with light-colored wood and a two-tone gray and white mattress.,data/processed/images/21a1cf4508b14d91b2d1d7c8ccc65806.png
2b72bfb81ccf4f138a8ffeca15435ff8,"A piece of peeling bark resting on a cracked, flat surface.",data/processed/images/2b72bfb81ccf4f138a8ffeca15435ff8.png
2c9190cc16964c84a8b65adeb8bec840,"A white person holding an umbrella, wearing a hat, and with wings.",data/processed/images/2c9190cc16964c84a8b65adeb8bec840.png
c7f9e145f7ba4744925c2a26fae01176,"A stylized, cartoonish character with a red jacket featuring yellow details, black pants, white gloves, large shoes, and a distinctive mustache.",data/processed/images/c7f9e145f7ba4744925c2a26fae01176.png
c640aca2e346421aa9ac1ec494b2567e,A shotgun.,data/processed/images/c640aca2e346421aa9ac1ec494b2567e.png
cd52e1b5299a40968f44c209899b4597,A Marshall guitar amplifier with a logo and wheels on a gray metal case.,data/processed/images/cd52e1b5299a40968f44c209899b4597.png
1ae1b9729c7d4bd2bd024dc4da5cf371,"Caption: Showing two parallel rectangular blocks labeled ""P"" and ""15 kN,"" connected by a smaller middle section.",data/processed/images/1ae1b9729c7d4bd2bd024dc4da5cf371.png
f37aa3016719422dac2265e71f6ed34b,A green tree with leaves.,data/processed/images/f37aa3016719422dac2265e71f6ed34b.png
5b965444baba46bba3784a027cc97837,"A rectangular stone plaque with the year 1964 engraved, surrounded by a raised border and weathered edges.",data/processed/images/5b965444baba46bba3784a027cc97837.png
647fc7d0e3ea47d0a9c325060831ab0c,"Grey, green, blue, and white DC Shoes sneakers.",data/processed/images/647fc7d0e3ea47d0a9c325060831ab0c.png
15935221728549539cfc89debc7762f3,A tall rectangular door with a protruding handle on one side.,data/processed/images/15935221728549539cfc89debc7762f3.png
1083ae3c885a44828aa3c1456df6f66c,"A weathered brick and stone structure features an archway and remnants of walls extending in a narrow, elongated formation.",data/processed/images/1083ae3c885a44828aa3c1456df6f66c.png
5b3096461e3646d18b231c614018c358,"A weathered, cylindrical military-style backpack with multiple stitched patches and compartments.",data/processed/images/5b3096461e3646d18b231c614018c358.png
b832316404df4222a27043a0b8e04e57,"Wooden-framed tile featuring a colorful, detailed painting of a figure holding a sword, dressed in orange robes against a blue background.",data/processed/images/b832316404df4222a27043a0b8e04e57.png
df883ff9afff432cbacdd86d99b4513f,"A humanoid figure with a bird-like head wearing shorts, boots, and a ruffled collar is posed in a crouching position with arms extended forward.",data/processed/images/df883ff9afff432cbacdd86d99b4513f.png
284da68e7f2e4b72afe67c6144ca7537,"An aged stone structure featuring a staircase, walls with windows and doors, and a statue on a platform.",data/processed/images/284da68e7f2e4b72afe67c6144ca7537.png
ea66c2db873d4182b116529697d18571,A streamlined jet engine with visible internal turbine blades and a conical exhaust tip encased in a smooth outer shell.,data/processed/images/ea66c2db873d4182b116529697d18571.png
0951125f210c4dd4bdd9176a7d9cc0ca,"Raw chicken breast with skin, exhibiting a pinkish color typical of uncooked poultry, with variations consistent with natural meat.",data/processed/images/0951125f210c4dd4bdd9176a7d9cc0ca.png
4224417b0d88479491a093dd083966ef,"A futuristic, compact robotic device featuring a rounded blue-gray body with white and yellow accents, equipped with multiple flexible black tubes extending from its bottom and mechanical arm-like structures on its sides.",data/processed/images/4224417b0d88479491a093dd083966ef.png
6b55703517a94a89be914e82a5f2fae8,"A stylized bird with a turquoise, scale-like pattern, black and white striped wings, tail, and head accents.",data/processed/images/6b55703517a94a89be914e82a5f2fae8.png
16a37dc15d204ab9b3c3052030fe6fce,"A man wearing a T-shirt, blue pants, and a hat.",data/processed/images/16a37dc15d204ab9b3c3052030fe6fce.png
5f58e88ad15042fdaff024959b6af26a,"Geometric structure composed of angular, connected planes forming a partially enclosed shape with a prominent pointed extension and an arch-like section.",data/processed/images/5f58e88ad15042fdaff024959b6af26a.png
afca4c87277841bface367ee49ee8671,"Structure composed of three elongated rectangular prisms intersecting near their centers, forming a T shape with an additional arm extending downward from the intersection.",data/processed/images/afca4c87277841bface367ee49ee8671.png
8129182bb18a4f99b2b657e1b49513a3,"A rectangular room with gray walls, wooden flooring, blue furniture including a sofa and chair, two blue windows, one larger blue element on the ceiling, and an orange vertical strip on one wall.",data/processed/images/8129182bb18a4f99b2b657e1b49513a3.png
7387741b93044a2496272ecb36be9ecb,"A wooden U-shaped structure and a separate rectangular piece, both featuring a horizontal metal grille.",data/processed/images/7387741b93044a2496272ecb36be9ecb.png
035c0074e13f4e69a2abe1dd51ed820a,"A simplified, solid-colored boat featuring a rectangular hull and a small raised structure on top.",data/processed/images/035c0074e13f4e69a2abe1dd51ed820a.png
e310b6ec92c64a5f9c8a8beb8d95a48e,"A rectangular box with rounded corners, supported by small cylindrical feet.",data/processed/images/e310b6ec92c64a5f9c8a8beb8d95a48e.png
73612384c796424baec1570fc51c2482,A white marble plaque featuring a relief of a man and a woman.,data/processed/images/73612384c796424baec1570fc51c2482.png
d93a9e1a1d9a422aa7316b2b7a7a9489,A rectangular plaque featuring a vintage black-and-white group photograph with Chinese text above it.,data/processed/images/d93a9e1a1d9a422aa7316b2b7a7a9489.png
7189619a252f4e52846b5c7a4f524257,"A sleek, futuristic vehicle with a low profile, angular design, and orange racing stripes.",data/processed/images/7189619a252f4e52846b5c7a4f524257.png
60f5b76955a24cf19dad6db81bc5410a,A white sword.,data/processed/images/60f5b76955a24cf19dad6db81bc5410a.png
37482cc0166a4194b8415ec81064d51f,A human heart in pink.,data/processed/images/37482cc0166a4194b8415ec81064d51f.png
429af689799a48e291855bc535827402,"A simple axe with a brown handle and a gray, roughly shaped blade.",data/processed/images/429af689799a48e291855bc535827402.png
fc4025988c6d4aa6a52f9b71d33207d1,A multi-level modular structure composed of intersecting beams and platforms connected by vertical supports.,data/processed/images/fc4025988c6d4aa6a52f9b71d33207d1.png
d03fa1c3ddf4478f997b03f486887f19,"A translucent object composed of cylindrical and rounded shapes with symmetrical, bulbous sections and tube-like extensions.",data/processed/images/d03fa1c3ddf4478f997b03f486887f19.png
f820302d471e473e8e68a6b4374e1174,"A large tree with dense foliage, rocky terrain, small grassy plants, a water stream, and a blue bird-like character.",data/processed/images/f820302d471e473e8e68a6b4374e1174.png
fbf88440e5e54270aa93a36de86d821e,"A spear with a double-edged, jagged white blade and a brown wooden shaft.",data/processed/images/fbf88440e5e54270aa93a36de86d821e.png
ced772a9c8834504a38242a54e0bc915,"A geometric structure composed of rectangular platforms supported by multiple vertical legs, resembling an abstract multi-level framework.",data/processed/images/ced772a9c8834504a38242a54e0bc915.png
2202594b724249a1b58c26b166373f09,"A green toy tower featuring various characters, a bird, and a green ball on top.",data/processed/images/2202594b724249a1b58c26b166373f09.png
94ccd348a1424defaea6efcd1d3418a6,"Green character resembling a simplified airplane with human-like features: extended flat arms as wings, body as fuselage with square windows, and legs as landing gear. It has a triangular face with three spikes representing hair or a crown.",data/processed/images/94ccd348a1424defaea6efcd1d3418a6.png
d976f86e726f4d558bc64181ee4be1a9,White cylindrical rod with a circular cross-section and a smooth surface.,data/processed/images/d976f86e726f4d558bc64181ee4be1a9.png
a8d23224e34e4a2aa4a99936ab2d357b,A molecule.,data/processed/images/a8d23224e34e4a2aa4a99936ab2d357b.png
310b21f5806b4a94baf80e0da936329f,A white Japanese pagoda.,data/processed/images/310b21f5806b4a94baf80e0da936329f.png
7bda6455dc104db585f33f403ed3aed0,A ring featuring three prominent gemstones of varying shapes set on a smooth band.,data/processed/images/7bda6455dc104db585f33f403ed3aed0.png
2dfca0cf18104c4a9f2dd27a46e1c255,A green cube with pixel art of a man's face.,data/processed/images/2dfca0cf18104c4a9f2dd27a46e1c255.png
d891c0cfeddd49feb7a4020b12ef35b9,A classical wall-mounted architectural element featuring a decorative shelf or corbel with ornamental detailing.,data/processed/images/d891c0cfeddd49feb7a4020b12ef35b9.png
fd582b0d4a8c4af1a1b5c4f21a481c93,Monochromatic gnarly tree with textured bark and several extended bare branches.,data/processed/images/fd582b0d4a8c4af1a1b5c4f21a481c93.png
5cc921060e2244409aa2b878224f8f13,A yellow table.,data/processed/images/5cc921060e2244409aa2b878224f8f13.png
00e9a0b160f44481ba10aebfe263d552,White cube,data/processed/images/00e9a0b160f44481ba10aebfe263d552.png
a31f3e82ecee47f39054c49cf5f2cfa5,"Abstract shape composed of three connected rounded forms in light blue, light purple, and dark gray, with small colorful details on the dark gray part.",data/processed/images/a31f3e82ecee47f39054c49cf5f2cfa5.png
04b80e8989684ab48329a776f5c8e299,"A small room containing a single bed with a brown blanket, a bedside table with a lamp, a tissue box, some decorative items, and a gaming console controller on the bed.",data/processed/images/04b80e8989684ab48329a776f5c8e299.png
9cc52ae8878f484d9fdf6c2da2fa4c30,"A complex protein structure featuring multiple alpha helices, beta sheets, and loops, with orange helices, purple sheets, and blue regions indicating distinct structural elements.",data/processed/images/9cc52ae8878f484d9fdf6c2da2fa4c30.png
3438688c814843ecbe3560bd6e303718,A twisted metal band with loops at both ends.,data/processed/images/3438688c814843ecbe3560bd6e303718.png
7f13d247de8c4dd3be84fd68e2b737c7,"Low-poly large mountain, scattered trees, rocks, a stone path, and a wooden archway on grassy terrain.",data/processed/images/7f13d247de8c4dd3be84fd68e2b737c7.png
c7bf2afe8df14f6086df86d2df1eda12,A peanut with its shell partially intact and a bite taken out of one side.,data/processed/images/c7bf2afe8df14f6086df86d2df1eda12.png
9edea774756b499bb55aed14292cffde,A marble statue on a stone base.,data/processed/images/9edea774756b499bb55aed14292cffde.png
d200906fd25943e489e12f0efe84d43d,"A multicolored steel framework structure with multiple vertical columns, horizontal beams, and roof trusses supporting flat roof sections.",data/processed/images/d200906fd25943e489e12f0efe84d43d.png
28e5b30662784ab5881b36a7a81d5e16,A modern staircase with wooden steps framed by a black rectangular structure and supported by a central white pillar.,data/processed/images/28e5b30662784ab5881b36a7a81d5e16.png
4531d6d866bf410dbe5b798fea7a3152,"A person sitting on the ground next to a wall covered with posters and graffiti, with bags and other items around them.",data/processed/images/4531d6d866bf410dbe5b798fea7a3152.png
7348659b09514fb29a5b5abf3283a8b3,"A broken ceramic jug with a handle, decorated with blue and brown patterns on a white base.",data/processed/images/7348659b09514fb29a5b5abf3283a8b3.png
6b7bbc12aecb4a1aac8a00c09381333b,A solid geometric shape with a pentagonal base and vertical rectangular faces forming a prism.,data/processed/images/6b7bbc12aecb4a1aac8a00c09381333b.png
8088b39f34704bc3a7c2087503215c49,A worn and deflated red football with white stripes and visible stitching.,data/processed/images/8088b39f34704bc3a7c2087503215c49.png
0381695c358c42be93ba082a697fbc3a,A girl in a dress with her arms outstretched.,data/processed/images/0381695c358c42be93ba082a697fbc3a.png
ac41a13bfe3f482088dd636c4681b23a,"A small, cozy bedroom with a loft bed, a desk underneath, a patterned rug on the floor, a window with curtains, and art hanging on the wall.",data/processed/images/ac41a13bfe3f482088dd636c4681b23a.png
22b690ed85ce4a2ba465c8235e493af7,A small stone church building with a roof.,data/processed/images/22b690ed85ce4a2ba465c8235e493af7.png
5830997d48174eddb7bd1bd89d63bda2,"A sphere surrounded by clouds and snowflakes, floating in the air.",data/processed/images/5830997d48174eddb7bd1bd89d63bda2.png
9677308598274571b4203b0ea8be5148,Black-and-white microphone,data/processed/images/9677308598274571b4203b0ea8be5148.png
3a0feca29d0140b89621cf80d1d97a09,A mushroom-like cartoon character wearing a polka dot hat and dress.,data/processed/images/3a0feca29d0140b89621cf80d1d97a09.png
2a145b57f3b84f75b87d210296aa9726,A gray bowl with a subtle design.,data/processed/images/2a145b57f3b84f75b87d210296aa9726.png
